,homoloid,mouse,human
5232,42552154,Fam220a,FAM220A
5233,42544134,Fam221a,FAM221A
5234,42552371,Fam221b,FAM221B
5235,42547784,Fam222a,FAM222A
5236,42534948,Fam222b,FAM222B
5237,42552166,Fam227a,FAM227A
5238,42551957,Fam227b,FAM227B
5239,42537276,Fam228a,FAM228A
5240,42537275,Fam228b,FAM228B
5241,42552408,Fam229a,FAM229A
5242,42553029,Fam229b,FAM229B
5243,42533460,Fam234a,FAM234A
5244,42541399,Fam234b,FAM234B
5245,42553378,Fam240a,FAM240A
5246,42553732,Fam240b,FAM240B
5247,42533663,Fam241a,FAM241A
5248,42551860,Fam241b,FAM241B
5249,42552754,Fam243,C21orf140
5250,42552625,Fam24a,FAM24A
5251,42551765,Fam24b,FAM24B
5252,42552725,Fam25c,FAM25C
5253,42548530,Fam32a,FAM32A
5254,42546329,Fam3a,FAM3A
5255,42552141,Fam3b,FAM3B
5256,42541108,Fam3c,FAM3C
5257,42536250,Fam3d,FAM3D
5258,42547705,Fam43a,FAM43A
5259,42547508,Fam43b,FAM43B
5260,42534330,Fam47c,FAM47C
5261,42534333,Fam47e,FAM47E
5262,42543141,Fam50a,FAM50A
5263,42543142,Fam50b,FAM50B
5264,42551928,Fam53a,FAM53A
5265,42542285,Fam53b,FAM53B
5266,42535306,Fam53c,FAM53C
5267,42533621,Fam72a,FAM72A
5268,42551720,Fam76a,FAM76A
5269,42537578,Fam76b,FAM76B
5270,42534446,Fam78a,FAM78A
5271,42532354,Fam78b,FAM78B
5272,42552862,Fam81a,FAM81A
5273,42535451,Fam81b,FAM81B
5274,42552119,Fam83a,FAM83A
5275,42544170,Fam83b,FAM83B
5276,42540850,Fam83c,FAM83C
5277,42545427,Fam83d,FAM83D
5278,42533571,Fam83e,FAM83E
5279,42538528,Fam83f,FAM83F
5280,42534521,Fam83g,FAM83G
5281,42532428,Fam83h,FAM83H
5282,42545939,Fam89a,FAM89A
5283,42534895,Fam89b,FAM89B
5284,42532559,Fam8a1,FAM8A1
5285,42539018,Fam91a1,FAM91A1
5286,42543811,Fam98a,FAM98A
5287,42541768,Fam98b,FAM98B
5288,42534387,Fam98c,FAM98C
5289,42543054,Fan1,FAN1
5290,42543070,Fanca,FANCA
5291,42535773,Fancb,FANCB
5292,42546760,Fancc,FANCC
5293,42547893,Fancd2,FANCD2
5294,42552189,Fancd2os,FANCD2OS
5295,42538238,Fance,FANCE
5296,42542402,Fancf,FANCF
5297,42546837,Fancg,FANCG
5298,42540053,Fanci,FANCI
5299,42538655,Fancl,FANCL
5300,42545670,Fancm,FANCM
5301,42545697,Fank1,FANK1
5302,42535233,Fap,FAP
5303,42546133,Far1,FAR1
5304,42547525,Far2,FAR2
5305,42534770,Farp1,FARP1
5306,42548579,Farp2,FARP2
5307,42545987,Fars2,FARS2
5308,42545290,Farsa,FARSA
5309,42545233,Farsb,FARSB
5310,42546423,Fas,FAS
5311,42548361,Fasl,FASLG
5312,42545399,Fasn,FASN
5313,42543969,Fastk,FASTK
5314,42541731,Fastkd1,FASTKD1
5315,42534994,Fastkd2,FASTKD2
5316,42538411,Fastkd3,FASTKD3
5317,42553580,Fastkd5,FASTKD5
5318,42539336,Fat1,FAT1
5319,42538602,Fat2,FAT2
5320,42547910,Fat3,FAT3
5321,42552083,Fat4,FAT4
5322,42554108,Fate1,FATE1
5323,42538042,Fau,FAU
5324,42539471,Faxc,FAXC
5325,42552337,Fbf1,FBF1
5326,42545168,Fbh1,FBH1
5327,42547091,Fbl,FBL
5328,42538552,Fblim1,FBLIM1
5329,42547092,Fbll1,FBLL1
5330,42541181,Fbln1,FBLN1
5331,42546976,Fbln2,FBLN2
5332,42544995,Fbln5,FBLN5
5333,42552086,Fbln7,FBLN7
5334,42537696,Fbn1,FBN1
5335,42546083,Fbn2,FBN2
5336,42540671,Fbp1,FBP1
5337,42543630,Fbp2,FBP2
5338,42542028,Fbrs,FBRS
5339,42535517,Fbrsl1,FBRSL1
5340,42552978,Fbxl12,FBXL12
5341,42543199,Fbxl13,FBXL13
5342,42534752,Fbxl14,FBXL14
5343,42542911,Fbxl15,FBXL15
5344,42543826,Fbxl16,FBXL16
5345,42539771,Fbxl17,FBXL17
5346,42534829,Fbxl18,FBXL18
5347,42533426,Fbxl19,FBXL19
5348,42543339,Fbxl2,FBXL2
5349,42534940,Fbxl20,FBXL20
5350,42547980,Fbxl21,FBXL21P
5351,42540649,Fbxl22,FBXL22
5352,42543591,Fbxl3,FBXL3
5353,42536218,Fbxl4,FBXL4
5354,42535879,Fbxl5,FBXL5
5355,42532837,Fbxl6,FBXL6
5356,42544910,Fbxl7,FBXL7
5357,42548565,Fbxl8,FBXL8
5358,42532992,Fbxl9,FBXL9P
5359,42534154,Fbxo10,FBXO10
5360,42545810,Fbxo11,FBXO11
5361,42532893,Fbxo15,FBXO15
5362,42535541,Fbxo16,FBXO16
5363,42551665,Fbxo17,FBXO17
5364,42533889,Fbxo2,FBXO2
5365,42547224,Fbxo21,FBXO21
5366,42544489,Fbxo22,FBXO22
5367,42552598,Fbxo24,FBXO24
5368,42535192,Fbxo25,FBXO25
5369,42552286,Fbxo27,FBXO27
5370,42537912,Fbxo28,FBXO28
5371,42547670,Fbxo3,FBXO3
5372,42540776,Fbxo30,FBXO30
5373,42535508,Fbxo31,FBXO31
5374,42541088,Fbxo32,FBXO32
5375,42552613,Fbxo33,FBXO33
5376,42532821,Fbxo34,FBXO34
5377,42544635,Fbxo36,FBXO36
5378,42539652,Fbxo38,FBXO38
5379,42552669,Fbxo39,FBXO39
5380,42532938,Fbxo4,FBXO4
5381,42532441,Fbxo40,FBXO40
5382,42540489,Fbxo41,FBXO41
5383,42540264,Fbxo42,FBXO42
5384,42534486,Fbxo43,FBXO43
5385,42535595,Fbxo44,FBXO44
5386,42543363,Fbxo45,FBXO45
5387,42543864,Fbxo46,FBXO46
5388,42552101,Fbxo47,FBXO47
5389,42552298,Fbxo48,FBXO48
5390,42544842,Fbxo5,FBXO5
5391,42538688,Fbxo6,FBXO6
5392,42544667,Fbxo7,FBXO7
5393,42537935,Fbxo8,FBXO8
5394,42548121,Fbxo9,FBXO9
5395,42548322,Fbxw10,FBXW10
5396,42535589,Fbxw11,FBXW11
5397,42552926,Fbxw13,FBXW12
5398,42552914,Fbxw14,FBXW12
5399,42552922,Fbxw15,FBXW12
5400,42552923,Fbxw16,FBXW12
5401,42552916,Fbxw18,FBXW12
5402,42552925,Fbxw19,FBXW12
5403,42541027,Fbxw2,FBXW2
5404,42552918,Fbxw20,FBXW12
5405,42552924,Fbxw21,FBXW12
5406,42552919,Fbxw22,FBXW12
5407,42552921,Fbxw24,FBXW12
5408,42552917,Fbxw25,FBXW12
5409,42552920,Fbxw26,FBXW12
5410,42552927,Fbxw27,FBXW12
5411,42552915,Fbxw28,FBXW12
5412,42546719,Fbxw4,FBXW4
5413,42539864,Fbxw5,FBXW5
5414,42541560,Fbxw7,FBXW7
5415,42542329,Fbxw8,FBXW8
5416,42542711,Fbxw9,FBXW9
5417,42532715,Fcamr,FCAMR
5418,42544055,Fcer1a,FCER1A
5419,42543879,Fcer1g,FCER1G
5420,42551861,Fcer2a,FCER2
5421,42532603,Fcf1,FCF1
5422,42547458,Fcgbp,FCGBP
5423,42552682,Fcgr2b,FCGR2B
5424,42551417,Fcgr3,FCGR2A
5425,42535937,Fcgrt,FCGRT
5426,42543972,Fcho1,FCHO1
5427,42546422,Fcho2,FCHO2
5428,42552271,Fchsd1,FCHSD1
5429,42533318,Fchsd2,FCHSD2
5430,42551639,Fcmr,FCMR
5431,42543677,Fcrl1,FCRL1
5432,42536718,Fcrl5,FCRL5
5433,42552547,Fcrl6,FCRL6
5434,42533459,Fcrla,FCRLA
5435,42533458,Fcrlb,FCRLB
5436,42536720,Fcrls,FCRL2
5437,42552460,Fcsk,FCSK
5438,42532297,Fdft1,FDFT1
5439,42540313,Fdps,FDPS
5440,42537433,Fdx1,FDX1
5441,42546741,Fdx2,FDX2
5442,42533362,Fdxacb1,FDXACB1
5443,42545732,Fdxr,FDXR
5444,42534894,Fech,FECH
5445,42540964,Fem1a,FEM1A
5446,42540965,Fem1al,FEM1A
5447,42547362,Fem1b,FEM1B
5448,42535895,Fem1c,FEM1C
5449,42538168,Fen1,FEN1
5450,42554031,Fendrr,FENDRR
5451,42547320,Fer,FER
5452,42543785,Fer1l4,FER1L4
5453,42551807,Fer1l5,FER1L5
5454,42534662,Fer1l6,FER1L6
5455,42551872,Ferd3l,FERD3L
5456,42547931,Fermt1,FERMT1
5457,42544776,Fermt2,FERMT2
5458,42547434,Fermt3,FERMT3
5459,42541819,Fes,FES
5460,42533749,Fetub,FETUB
5461,42544987,Fev,FEV
5462,42546080,Fez1,FEZ1
5463,42533521,Fez2,FEZ2
5464,42537723,Fezf1,FEZF1
5465,42547872,Fezf2,FEZF2
5466,42533797,Ffar1,FFAR1
5467,42532606,Ffar2,FFAR2
5468,42532605,Ffar3,FFAR3
5469,42552863,Ffar4,FFAR4
5470,42539188,Fga,FGA
5471,42541850,Fgb,FGB
5472,42545667,Fgd1,FGD1
5473,42552145,Fgd2,FGD2
5474,42552275,Fgd3,FGD3
5475,42538984,Fgd4,FGD4
5476,42540418,Fgd5,FGD5
5477,42535882,Fgd6,FGD6
5478,42540502,Fgf1,FGF1
5479,42534915,Fgf10,FGF10
5480,42538058,Fgf11,FGF11
5481,42535572,Fgf12,FGF12
5482,42535926,Fgf13,FGF13
5483,42545405,Fgf14,FGF14
5484,42537019,Fgf15,FGF19
5485,42540309,Fgf16,FGF16
5486,42535531,Fgf17,FGF17
5487,42540329,Fgf18,FGF18
5488,42545831,Fgf2,FGF2
5489,42544671,Fgf20,FGF20
5490,42547614,Fgf21,FGF21
5491,42537873,Fgf22,FGF22
5492,42539411,Fgf23,FGF23
5493,42539385,Fgf3,FGF3
5494,42537241,Fgf4,FGF4
5495,42544515,Fgf5,FGF5
5496,42537447,Fgf6,FGF6
5497,42541278,Fgf7,FGF7
5498,42537712,Fgf8,FGF8
5499,42544751,Fgf9,FGF9
5500,42546736,Fgfbp1,FGFBP1
5501,42533831,Fgfbp3,FGFBP3
5502,42540590,Fgfr1,FGFR1
5503,42539412,Fgfr1op2,FGFR1OP2
5504,42544976,Fgfr2,FGFR2
5505,42538878,Fgfr3,FGFR3
5506,42541700,Fgfr4,FGFR4
5507,42543140,Fgfrl1,FGFRL1
5508,42542934,Fgg,FGG
5509,42542574,Fggy,FGGY
5510,42544773,Fgl1,FGL1
5511,42547672,Fgl2,FGL2
5512,42547591,Fgr,FGR
5513,42547170,Fh1,FH
5514,42533470,Fhad1,FHAD1
5515,42547387,Fhdc1,FHDC1
5516,42544267,Fhip1a,FHIP1A
5517,42548467,Fhip1b,FHIP1B
5518,42547641,Fhip2a,FHIP2A
5519,42536212,Fhip2b,FHIP2B
5520,42538603,Fhit,FHIT
5521,42544335,Fhl1,FHL1
5522,42541653,Fhl2,FHL2
5523,42533210,Fhl3,FHL3
5524,42543149,Fhl5,FHL5
5525,42543644,Fhod1,FHOD1
5526,42534040,Fhod3,FHOD3
5527,42533341,Fibcd1,FIBCD1
5528,42541502,Fibin,FIBIN
5529,42540689,Fibp,FIBP
5530,42536760,Ficd,FICD
5531,42544151,Fig4,FIG4
5532,42544095,Figla,FIGLA
5533,42540634,Fign,FIGN
5534,42536024,Fignl1,FIGNL1
5535,42535042,Fignl2,FIGNL2
5536,42535910,Filip1,FILIP1
5537,42532822,Filip1l,FILIP1L
5538,42544877,Fip1l1,FIP1L1
5539,42553887,Firre,FIRRE
5540,42548419,Fis1,FIS1
5541,42535743,Fitm1,FITM1
5542,42546412,Fitm2,FITM2
5543,42552330,Fiz1,FIZ1
5544,42544520,Fjx1,FJX1
5545,42544264,Fkbp10,FKBP10
5546,42537050,Fkbp11,FKBP11
5547,42546243,Fkbp14,FKBP14
5548,42532579,Fkbp15,FKBP15
5549,42544141,Fkbp1a,FKBP1A
5550,42540760,Fkbp1b,FKBP1B
5551,42548186,Fkbp2,FKBP2
5552,42536701,Fkbp3,FKBP3
5553,42548044,Fkbp4,FKBP4
5554,42547404,Fkbp5,FKBP5
5555,42546472,Fkbp6,FKBP6
5556,42541966,Fkbp7,FKBP7
5557,42546899,Fkbp8,FKBP8
5558,42538067,Fkbp9,FKBP9
5559,42533021,Fkbpl,FKBPL
5560,42542755,Fkrp,FKRP
5561,42543326,Fktn,FKTN
5562,42552325,Flacc1,FLACC1
5563,42548394,Flad1,FLAD1
5564,42537983,Flcn,FLCN
5565,42552137,Flg2,FLG2
5566,42538417,Fli1,FLI1
5567,42547223,Flii,FLII
5568,42539975,Flna,FLNA
5569,42542655,Flnb,FLNB
5570,42542290,Flnc,FLNC
5571,42538350,Flot1,FLOT1
5572,42538184,Flot2,FLOT2
5573,42538106,Flrt1,FLRT1
5574,42542928,Flrt2,FLRT2
5575,42543290,Flrt3,FLRT3
5576,42543509,Flt1,FLT1
5577,42546258,Flt3,FLT3
5578,42551916,Flt3l,FLT3LG
5579,42547291,Flt4,FLT4
5580,42544874,Flvcr1,FLVCR1
5581,42535543,Flvcr2,FLVCR2
5582,42552765,Flywch1,FLYWCH1
5583,42553955,Flywch2,FLYWCH2
5584,42533592,Fmc1,FMC1
5585,42534327,Fmn1,FMN1
5586,42541489,Fmn2,FMN2
5587,42537264,Fmnl1,FMNL1
5588,42544651,Fmnl2,FMNL2
5589,42543322,Fmnl3,FMNL3
5590,42537452,Fmo1,FMO1
5591,42537451,Fmo2,FMO2
5592,42537449,Fmo3,FMO3
5593,42548301,Fmo4,FMO4
5594,42537453,Fmo5,FMO5
5595,42537455,Fmo6,FMO6P
5596,42537051,Fmod,FMOD
5597,42544506,Fmr1,FMR1
5598,42552874,Fmr1nb,FMR1NB
5599,42542432,Fn1,FN1
5600,42542216,Fn3k,FN3K
5601,42542215,Fn3krp,FN3KRP
5602,42541211,Fnbp1,FNBP1
5603,42534867,Fnbp1l,FNBP1L
5604,42541174,Fnbp4,FNBP4
5605,42544565,Fndc1,FNDC1
5606,42534007,Fndc10,FNDC10
5607,42551878,Fndc11,FNDC11
5608,42539784,Fndc3a,FNDC3A
5609,42542259,Fndc3b,FNDC3B
5610,42539266,Fndc4,FNDC4
5611,42535868,Fndc5,FNDC5
5612,42548201,Fndc7,FNDC7
5613,42551848,Fndc8,FNDC8
5614,42552046,Fndc9,FNDC9
5615,42533915,Fnip1,FNIP1
5616,42533769,Fnip2,FNIP2
5617,42547626,Fnta,FNTA
5618,42540443,Fntb,FNTB
5619,42543502,Focad,FOCAD
5620,42546673,Folh1,FOLH1
5621,42532907,Folr1,FOLR1
5622,42532908,Folr2,FOLR2
5623,42532868,Fos,FOS
5624,42542471,Fosb,FOSB
5625,42540957,Fosl1,FOSL1
5626,42544567,Fosl2,FOSL2
5627,42535813,Foxa1,FOXA1
5628,42536821,Foxa2,FOXA2
5629,42541240,Foxa3,FOXA3
5630,42541971,Foxb1,FOXB1
5631,42545531,Foxb2,FOXB2
5632,42547529,Foxc1,FOXC1
5633,42551799,Foxc2,FOXC2
5634,42544252,Foxd1,FOXD1
5635,42544214,Foxd2,FOXD2
5636,42537764,Foxd3,FOXD3
5637,42552726,Foxd4,FOXD4
5638,42547955,Foxe1,FOXE1
5639,42544662,Foxe3,FOXE3
5640,42541574,Foxf1,FOXF1
5641,42535913,Foxf2,FOXF2
5642,42546265,Foxg1,FOXG1
5643,42535397,Foxh1,FOXH1
5644,42535629,Foxi1,FOXI1
5645,42535628,Foxi2,FOXI2
5646,42537440,Foxi3,FOXI3
5647,42535401,Foxj1,FOXJ1
5648,42540825,Foxj2,FOXJ2
5649,42543351,Foxj3,FOXJ3
5650,42539711,Foxk1,FOXK1
5651,42538677,Foxk2,FOXK2
5652,42543762,Foxl1,FOXL1
5653,42533636,Foxl2,FOXL2
5654,42547681,Foxl3,FOXL3
5655,42536375,Foxm1,FOXM1
5656,42546093,Foxn1,FOXN1
5657,42539825,Foxn2,FOXN2
5658,42541500,Foxn3,FOXN3
5659,42543592,Foxn4,FOXN4
5660,42538468,Foxo1,FOXO1
5661,42538734,Foxo3,FOXO3
5662,42543626,Foxo4,FOXO4
5663,42533955,Foxo6,FOXO6
5664,42541019,Foxp1,FOXP1
5665,42548254,Foxp2,FOXP2
5666,42540510,Foxp3,FOXP3
5667,42545013,Foxp4,FOXP4
5668,42544122,Foxq1,FOXQ1
5669,42534679,Foxr1,FOXR1
5670,42534680,Foxr2,FOXR2
5671,42534068,Foxred1,FOXRED1
5672,42543047,Foxred2,FOXRED2
5673,42552586,Foxs1,FOXS1
5674,42544941,Fpgs,FPGS
5675,42541680,Fpgt,FPGT
5676,42534817,Fpr-rs3,FPR2
5677,42534816,Fpr-rs4,FPR2
5678,42534814,Fpr-rs6,FPR2
5679,42534813,Fpr-rs7,FPR2
5680,42534815,Fpr1,FPR1
5681,42534819,Fpr2,FPR2
5682,42534818,Fpr3,FPR3
5683,42544881,Fra10ac1,FRA10AC1
5684,42539001,Fras1,FRAS1
5685,42547171,Frat1,FRAT1
5686,42547173,Frat2,FRAT2
5687,42542500,Frem1,FREM1
5688,42545301,Frem2,FREM2
5689,42545428,Frem3,FREM3
5690,42550792,Frey1,FREY1
5691,42532576,Frg1,FRG1
5692,42537809,Frk,FRK
5693,42538092,Frmd3,FRMD3
5694,42533516,Frmd4a,FRMD4A
5695,42543384,Frmd4b,FRMD4B
5696,42541780,Frmd5,FRMD5
5697,42543975,Frmd6,FRMD6
5698,42546876,Frmd7,FRMD7
5699,42547877,Frmd8,FRMD8
5700,42547378,Frmpd1,FRMPD1
5701,42540352,Frmpd2,FRMPD2
5702,42540314,Frmpd3,FRMPD3
5703,42538287,Frmpd4,FRMPD4
5704,42542664,Frrs1,FRRS1
5705,42552434,Frrs1l,FRRS1L
5706,42539961,Frs2,FRS2
5707,42540030,Frs3,FRS3
5708,42539990,Fry,FRY
5709,42538599,Fryl,FRYL
5710,42542445,Frzb,FRZB
5711,42550940,Fsbp,FSBP
5712,42551637,Fscb,FSCB
5713,42538997,Fscn1,FSCN1
5714,42538604,Fscn2,FSCN2
5715,42552200,Fscn3,FSCN3
5716,42540428,Fsd1,FSD1
5717,42539116,Fsd1l,FSD1L
5718,42552944,Fsd2,FSD2
5719,42544647,Fshb,FSHB
5720,42547665,Fshr,FSHR
5721,42538944,Fsip1,FSIP1
5722,42551680,Fsip2,FSIP2
5723,42539164,Fst,FST
5724,42540867,Fstl1,FSTL1
5725,42548144,Fstl3,FSTL3
5726,42535325,Fstl4,FSTL4
5727,42545661,Fstl5,FSTL5
5728,42545684,Ftcd,FTCD
5729,42539175,Fth1,FTH1
5730,42545034,Ftl1,FTL
5731,42553744,Ftl1-ps2,FTL
5732,42545035,Ftl2-ps,FTL
5733,42539174,Ftmt,FTMT
5734,42547179,Fto,FTO
5735,42548032,Ftsj1,FTSJ1
5736,42545737,Ftsj3,FTSJ3
5737,42553976,Ftx,FTX
5738,42541872,Fubp1,FUBP1
5739,42532598,Fubp3,FUBP3
5740,42538904,Fuca1,FUCA1
5741,42543817,Fuca2,FUCA2
5742,42542882,Fundc1,FUNDC1
5743,42536247,Fundc2,FUNDC2
5744,42536248,Fundc2b,FUNDC2
5745,42537139,Fuom,FUOM
5746,42539983,Furin,FURIN
5747,42535263,Fus,FUS
5748,42552738,Fut1,FUT1
5749,42543660,Fut10,FUT10
5750,42537055,Fut11,FUT11
5751,42552203,Fut2,FUT2
5752,42552542,Fut4,FUT4
5753,42539461,Fut7,FUT7
5754,42546681,Fut8,FUT8
5755,42545884,Fut9,FUT9
5756,42539938,Fuz,FUZ
5757,42546895,Fxn,FXN
5758,42536093,Fxr1,FXR1
5759,42547451,Fxr2,FXR2
5760,42552435,Fxyd1,FXYD1
5761,42532426,Fxyd2,FXYD2
5762,42552764,Fxyd3,FXYD3
5763,42552545,Fxyd4,FXYD4
5764,42541087,Fxyd5,FXYD5
5765,42538535,Fxyd6,FXYD6
5766,42540136,Fxyd7,FXYD7
5767,42534517,Fyb,FYB1
5768,42552703,Fyb2,FYB2
5769,42543082,Fyco1,FYCO1
5770,42540004,Fyn,FYN
5771,42552979,Fyttd1,FYTTD1
5772,42544338,Fzd1,FZD1
5773,42548047,Fzd10,FZD10
5774,42553893,Fzd10os,FZD10-AS1
5775,42545113,Fzd2,FZD2
5776,42537030,Fzd3,FZD3
5777,42537142,Fzd4,FZD4
5778,42542476,Fzd5,FZD5
5779,42546953,Fzd6,FZD6
5780,42535024,Fzd7,FZD7
5781,42541430,Fzd8,FZD8
5782,42541777,Fzd9,FZD9
5783,42539995,Fzr1,FZR1
5784,42542411,G0s2,G0S2
5785,42540592,G2e3,G2E3
5786,42539122,G3bp1,G3BP1
5787,42533784,G3bp2,G3BP2
5788,42542801,G6pc,G6PC1
5789,42554053,G6pc2,G6PC2
5790,42539702,G6pc3,G6PC3
5791,42545229,G6pd2,G6PD
5792,42545228,G6pdx,G6PD
5793,42535935,Gaa,GAA
5794,42538267,Gab1,GAB1
5795,42547335,Gab2,GAB2
5796,42533539,Gab3,GAB3
5797,42537940,Gabarap,GABARAP
5798,42544112,Gabarapl1,GABARAPL1
5799,42548527,Gabarapl2,GABARAPL2
5800,42542873,Gabbr1,GABBR1
5801,42543963,Gabbr2,GABBR2
5802,42548372,Gabpa,GABPA
5803,42539620,Gabpb1,GABPB1
5804,42541064,Gabpb2,GABPB2
5805,42548422,Gabra1,GABRA1
5806,42532681,Gabra2,GABRA2
5807,42537070,Gabra3,GABRA3
5808,42534488,Gabra4,GABRA4
5809,42536026,Gabra5,GABRA5
5810,42535814,Gabra6,GABRA6
5811,42533258,Gabrb1,GABRB1
5812,42546632,Gabrb2,GABRB2
5813,42546956,Gabrb3,GABRB3
5814,42537811,Gabrd,GABRD
5815,42551936,Gabre,GABRE
5816,42533135,Gabrg1,GABRG1
5817,42538608,Gabrg2,GABRG2
5818,42552834,Gabrg3,GABRG3
5819,42539165,Gabrp,GABRP
5820,42532535,Gabrq,GABRQ
5821,42537469,Gabrr1,GABRR1
5822,42543171,Gabrr2,GABRR2
5823,42546814,Gabrr3,GABRR3
5824,42535812,Gad1,GAD1
5825,42547755,Gad2,GAD2
5826,42543725,Gadd45a,GADD45A
5827,42534717,Gadd45b,GADD45B
5828,42532713,Gadd45g,GADD45G
5829,42537489,Gadd45gip1,GADD45GIP1
5830,42553427,Gadl1,GADL1
5831,42544189,Gak,GAK
5832,42539182,Gal,GAL
5833,42541761,Gal3st1,GAL3ST1
5834,42534613,Gal3st2,GAL3ST2
5835,42534612,Gal3st2b,GAL3ST2
5836,42534611,Gal3st2c,GAL3ST2
5837,42540259,Gal3st3,GAL3ST3
5838,42547674,Gal3st4,GAL3ST4
5839,42539787,Galc,GALC
5840,42539031,Gale,GALE
5841,42547953,Galk1,GALK1
5842,42545415,Galk2,GALK2
5843,42537225,Galm,GALM
5844,42536325,Galns,GALNS
5845,42540859,Galnt1,GALNT1
5846,42552616,Galnt10,GALNT10
5847,42547958,Galnt11,GALNT11
5848,42544661,Galnt12,GALNT12
5849,42543830,Galnt13,GALNT13
5850,42539631,Galnt14,GALNT14
5851,42551701,Galnt15,GALNT15
5852,42548153,Galnt16,GALNT16
5853,42543457,Galnt17,GALNT17
5854,42535817,Galnt18,GALNT18
5855,42537250,Galnt2,GALNT2
5856,42548085,Galnt3,GALNT3
5857,42545018,Galnt4,GALNT4
5858,42552965,Galnt5,GALNT5
5859,42539604,Galnt6,GALNT6
5860,42544933,Galnt7,GALNT7
5861,42533157,Galnt9,GALNT9
5862,42547957,Galntl5,GALNTL5
5863,42534259,Galntl6,GALNTL6
5864,42552058,Galp,GALP
5865,42534703,Galr1,GALR1
5866,42533242,Galr2,GALR2
5867,42542044,Galr3,GALR3
5868,42542737,Galt,GALT
5869,42547047,Gamt,GAMT
5870,42547500,Gan,GAN
5871,42533132,Ganab,GANAB
5872,42547669,Ganc,GANC
5873,42544714,Gap43,GAP43
5874,42547695,Gapdh,GAPDH
5875,42553786,Gapdh-ps15,GAPDH
5876,42546553,Gapdhs,GAPDHS
5877,42552707,Gapt,GAPT
5878,42533849,Gapvd1,GAPVD1
5879,42544144,Gar1,GAR1
5880,42541798,Garem1,GAREM1
5881,42544875,Garem2,GAREM2
5882,42551895,Garin1a,GARIN1A
5883,42551938,Garin1b,GARIN1B
5884,42552554,Garin2,GARIN2
5885,42551818,Garin3,GARIN3
5886,42552727,Garin4,GARIN4
5887,42551960,Garin5a,GARIN5A
5888,42551792,Garin5b,GARIN5B
5889,42545262,Garnl3,GARNL3
5890,42543865,Garre1,GARRE1
5891,42544430,Gars,GARS1
5892,42544522,Gart,GART
5893,42538340,Gas1,GAS1
5894,42546487,Gas2,GAS2
5895,42545762,Gas2l1,GAS2L1
5896,42552790,Gas2l2,GAS2L2
5897,42535184,Gas2l3,GAS2L3
5898,42542210,Gas5,GAS5
5899,42543956,Gas6,GAS6
5900,42537579,Gas7,GAS7
5901,42538369,Gas8,GAS8
5902,42543560,Gask1a,GASK1A
5903,42548442,Gask1b,GASK1B
5904,42551925,Gast,GAST
5905,42541839,Gata1,GATA1
5906,42539131,Gata2,GATA2
5907,42543888,Gata3,GATA3
5908,42541623,Gata4,GATA4
5909,42543943,Gata5,GATA5
5910,42536793,Gata6,GATA6
5911,42541291,Gatad1,GATAD1
5912,42542570,Gatad2a,GATAD2A
5913,42545260,Gatad2b,GATAD2B
5914,42548079,Gatb,GATB
5915,42534255,Gatc,GATC
5916,42548357,Gatd1,GATD1
5917,42532372,Gatd3a,GATD3
5918,42536293,Gatm,GATM
5919,42547156,Gba,GBA1
5920,42548417,Gba2,GBA2
5921,42533029,Gbe1,GBE1
5922,42534558,Gbf1,GBF1
5923,42533269,Gbgt1,GBGT1
5924,42537175,Gbp10,GBP6
5925,42537174,Gbp11,GBP6
5926,42537180,Gbp2,GBP2
5927,42537184,Gbp4,GBP6
5928,42537179,Gbp5,GBP5
5929,42537182,Gbp6,GBP6
5930,42537176,Gbp7,GBP7
5931,42537178,Gbp8,GBP6
5932,42537183,Gbp9,GBP6
5933,42540743,Gbx1,GBX1
5934,42544594,Gbx2,GBX2
5935,42546707,Gc,GC
5936,42533405,Gca,GCA
5937,42536078,Gcat,GCAT
5938,42548415,Gcc1,GCC1
5939,42552873,Gcc2,GCC2
5940,42540523,Gcdh,GCDH
5941,42536271,Gcfc2,GCFC2
5942,42541183,Gcg,GCG
5943,42537307,Gcgr,GCGR
5944,42542556,Gch1,GCH1
5945,42535102,Gchfr,GCHFR
5946,42541094,Gck,GCK
5947,42546985,Gckr,GCKR
5948,42548114,Gclc,GCLC
5949,42544639,Gclm,GCLM
5950,42551902,Gcm1,GCM1
5951,42541968,Gcm2,GCM2
5952,42546186,Gcn1,GCN1
5953,42552253,Gcnt1,GCNT1
5954,42545920,Gcnt2,GCNT2
5955,42536734,Gcnt3,GCNT3
5956,42533385,Gcnt4,GCNT4
5957,42545919,Gcnt7,GCNT7
5958,42552593,Gcsam,GCSAM
5959,42539610,Gcsh,GCSH
5960,42545561,Gda,GDA
5961,42548533,Gdap1,GDAP1
5962,42538074,Gdap1l1,GDAP1L1
5963,42543572,Gdap2,GDAP2
5964,42541352,Gde1,GDE1
5965,42545865,Gdf1,GDF1
5966,42548110,Gdf10,GDF10
5967,42537131,Gdf11,GDF11
5968,42552360,Gdf15,GDF15
5969,42542671,Gdf2,GDF2
5970,42545866,Gdf3,GDF3
5971,42545165,Gdf5,GDF5
5972,42536960,Gdf6,GDF6
5973,42544644,Gdf7,GDF7
5974,42544523,Gdf9,GDF9
5975,42547261,Gdi1,GDI1
5976,42542100,Gdi2,GDI2
5977,42535808,Gdnf,GDNF
5978,42545497,Gdpd1,GDPD1
